"user_id,""activity_date"",""game_activity_name"",""total_seconds"""
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-28"",game 2: Campaign,110"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-13"",game 2: Campaign,2"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-28"",game 2: Campaign,21"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-17"",game 2: Campaign,179"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-18"",game 2: Campaign,63"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-19"",game 2: Campaign,16"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-07-24"",game 2: Campaign,22"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-13"",game 2: Special events and challenges,22"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-17"",game 2: Special events and challenges,564"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-02"",game 2: Special events and challenges,104"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-12"",game 2: Special events and challenges,2371"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-14"",game 2: Special events and challenges,5586"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-01"",game 2: Special events and challenges,56"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-28"",game 2: Special events and challenges,35"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-03"",game 2: Special events and challenges,4061"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-07-25"",game 2: Special events and challenges,13"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-24"",game 2: Mini-games,936"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-19"",game 2: Mini-games,662"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-14"",game 2: Mini-games,4122"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-15"",game 2: Mini-games,329"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-07-28"",game 2: Clan activities,19"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-13"",game 2: Clan activities,741"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-31"",game 2: Clan activities,6"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-20"",game 2: Clan activities,66"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-04"",game 2: Clan activities,176"
