"user_id","game_name","first_month","last_month","payment_month","active_in_month","isnewuser","ischurned","isbackfromchurn","revenue","mrr","mrr_expansion","mrr_contraction","new_mrr","churn_revenue","back_from_churn_rev","language","age","has_older_device_model"
lJW2nxFOiXDfsmSrwGsFQw==,game 3,2022-08-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-12-01 00:00:00.000 +0200,1,0,1,1,31.38,0,0,0,0,-31.38,31.38,uk,20,false
LO9NuZYI6zP2HXEBAS4wpw==,game 3,2022-09-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-09-01 00:00:00.000 +0300,1,1,0,0,15.78,0,0,0,15.78,0,0,uk,23,false
LO9NuZYI6zP2HXEBAS4wpw==,game 3,2022-09-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-10-01 00:00:00.000 +0300,1,0,0,0,29.31,29.31,13.53,0,0,0,0,uk,23,false
LO9NuZYI6zP2HXEBAS4wpw==,game 3,2022-09-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-11-01 00:00:00.000 +0200,1,0,0,0,50.76,50.76,21.45,0,0,0,0,uk,23,false
LO9NuZYI6zP2HXEBAS4wpw==,game 3,2022-09-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-12-01 00:00:00.000 +0200,1,0,1,0,45.60,45.60,0,-5.16,0,-45.60,0,uk,23,false
lP6BWSFF4OZeWp0jrAHY9g==,game 3,2022-05-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-05-01 00:00:00.000 +0300,1,1,1,0,13.2,0,0,0,13.2,-13.2,0,uk,29,false
lP6BWSFF4OZeWp0jrAHY9g==,game 3,2022-05-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-11-01 00:00:00.000 +0200,1,0,0,1,29.16,0,0,0,0,0,29.16,uk,29,false
lP6BWSFF4OZeWp0jrAHY9g==,game 3,2022-05-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-12-01 00:00:00.000 +0200,1,0,1,0,36.6,36.6,7.44,0,0,-36.6,0,uk,29,false
LuDHi0aoGmgpUtTGreh0fQ==,game 3,2022-12-01 00:00:00.000 +0200,2022-12-01 00:00:00.000 +0200,2022-12-01 00:00:00.000 +0200,1,1,1,0,12.09,0,0,0,12.09,-12.09,0,uk,22,true
Lug+Yg90jslWgHEN6dc+Ng==,game 3,2022-04-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-04-01 00:00:00.000 +0300,1,1,1,0,82.23,0,0,0,82.23,-82.23,0,uk,21,false
Lug+Yg90jslWgHEN6dc+Ng==,game 3,2022-04-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-06-01 00:00:00.000 +0300,1,0,0,1,18.66,0,0,0,0,0,18.66,uk,21,false
Lug+Yg90jslWgHEN6dc+Ng==,game 3,2022-04-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-07-01 00:00:00.000 +0300,1,0,0,0,93.36,93.36,74.70,0,0,0,0,uk,21,false
Lug+Yg90jslWgHEN6dc+Ng==,game 3,2022-04-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-08-01 00:00:00.000 +0300,1,0,1,0,58.50,58.50,0,-34.86,0,-58.50,0,uk,21,false
Lug+Yg90jslWgHEN6dc+Ng==,game 3,2022-04-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-11-01 00:00:00.000 +0200,1,0,0,1,13.08,0,0,0,0,0,13.08,uk,21,false
Lug+Yg90jslWgHEN6dc+Ng==,game 3,2022-04-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-12-01 00:00:00.000 +0200,1,0,1,0,33.09,33.09,20.01,0,0,-33.09,0,uk,21,false
L+wA3BIaEKSpxf2uqmtJxQ==,game 3,2022-11-01 00:00:00.000 +0200,2022-12-01 00:00:00.000 +0200,2022-11-01 00:00:00.000 +0200,1,1,0,0,68.43,0,0,0,68.43,0,0,uk,25,true
L+wA3BIaEKSpxf2uqmtJxQ==,game 3,2022-11-01 00:00:00.000 +0200,2022-12-01 00:00:00.000 +0200,2022-12-01 00:00:00.000 +0200,1,0,1,0,37.14,37.14,0,-31.29,0,-37.14,0,uk,25,true
LWAxWBdiFs/25YxI4ZGthA==,game 3,2022-05-01 00:00:00.000 +0300,2022-06-01 00:00:00.000 +0300,2022-05-01 00:00:00.000 +0300,1,1,0,0,86.46,0,0,0,86.46,0,0,ru,17,true
LWAxWBdiFs/25YxI4ZGthA==,game 3,2022-05-01 00:00:00.000 +0300,2022-06-01 00:00:00.000 +0300,2022-06-01 00:00:00.000 +0300,1,0,1,0,18.54,18.54,0,-67.92,0,-18.54,0,ru,17,true
lx3SsUV7NOrv93tCexVp5A==,game 3,2022-07-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-07-01 00:00:00.000 +0300,1,1,0,0,36.21,0,0,0,36.21,0,0,uk,16,false
lx3SsUV7NOrv93tCexVp5A==,game 3,2022-07-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-08-01 00:00:00.000 +0300,1,0,0,0,17.22,17.22,0,-18.99,0,0,0,uk,16,false
lx3SsUV7NOrv93tCexVp5A==,game 3,2022-07-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-09-01 00:00:00.000 +0300,1,0,0,0,23.85,23.85,6.63,0,0,0,0,uk,16,false
lx3SsUV7NOrv93tCexVp5A==,game 3,2022-07-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-10-01 00:00:00.000 +0300,1,0,1,0,29.85,29.85,6.00,0,0,-29.85,0,uk,16,false
lx3SsUV7NOrv93tCexVp5A==,game 3,2022-07-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-12-01 00:00:00.000 +0200,1,0,1,1,16.2,0,0,0,0,-16.2,16.2,uk,16,false
m7Hk77dySHBbxrKgro1Hjg==,game 3,2022-07-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-07-01 00:00:00.000 +0300,1,1,0,0,22.77,0,0,0,22.77,0,0,uk,30,false
m7Hk77dySHBbxrKgro1Hjg==,game 3,2022-07-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-08-01 00:00:00.000 +0300,1,0,1,0,18.84,18.84,0,-3.93,0,-18.84,0,uk,30,false
m7Hk77dySHBbxrKgro1Hjg==,game 3,2022-07-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-11-01 00:00:00.000 +0200,1,0,1,1,13.89,0,0,0,0,-13.89,13.89,uk,30,false
